	leftRight	frontBack	angular	Roll_Mean	Roll_SD	Roll_FFT_Mean_Real	Roll_FFT_Mean_Imag	Roll_FFT_SD	Pitch_Mean	Pitch_SD	Pitch_FFT_Mean_Real	Pitch_FFT_Mean_Imag	Pitch_FFT_SD	Yaw_Mean	Yaw_SD	Yaw_FFT_Mean_Real	Yaw_FFT_Mean_Imag	Yaw_FFT_SD
863	0	-	0	-394.62264150943395	341.02659811140467	330.0	-3.432055478388408e-14	3782.6560774143873	-8656.377358490567	247.42990060576182	-8016.999999999998	-1.716027739194204e-14	62533.307197045	179040.81132075473	86.05045834436024	179202.0	-1.716027739194204e-14	1291059.4401184635
864	0	-	0	-723.0	67.22252542510064	-651.9999999999999	-1.716027739194204e-14	5245.858652308504	-8938.603773584906	33.934086843629665	-8885.999999999998	-2.681293342490944e-16	64464.93479404132	178785.05660377358	56.55633861489136	178878.99999999997	4.29006934798551e-15	1289224.4123972366
865	0	-	0	-789.8076923076923	33.47848819163783	-773.0000000000003	-1.0931426704001542e-14	5647.845164308242	-9049.192307692309	96.54075234793503	-8931.0	-4.372570681600617e-15	64644.3479277191	178728.15384615384	23.282863139578247	178712.0	2.1862853408003084e-15	1276376.591787079
866	0	-	0	-732.7407407407408	104.89892581188971	-791.9999999999998	-1.289503483416478e-14	5381.452034534918	-9351.518518518518	721.661399537893	-9286.0	3.3684988954552896e-14	68295.25362717382	178787.12962962964	26.187391860500725	178750.99999999994	-4.210623619319112e-15	1301594.9269938017
867	+	0	0	-735.1255886970173	961.9612259545798	-957.0	-7.310224290545358e-13	30541.53555406145	-58.287284144427005	7511.6232606600715	-7148.0	-1.0965336435818037e-12	189455.71133908842	178767.67032967033	141.08401123037325	178781.99999999997	-2.2844450907954243e-14	4508349.942846718
868	+	0	0	8044.732142857143	1073.6131501195828	5395.0	1.948917218084846e-13	60494.91019912336	-490.07142857142856	177.00987231778677	-420.9999999999999	0.0	3876.4544367243634	178846.75	128.1582796500372	179041.9999999999	4.060244204343429e-14	1326337.0013695615
869	+	0	0	8713.037735849057	169.2241967470519	8993.999999999998	1.716027739194204e-14	62803.090091173064	-1266.7735849056603	263.96252174721405	-844.9999999999994	-1.716027739194204e-14	9382.362495661739	178480.24528301886	86.64804228871571	178602.99999999997	0.0	1287022.477656082
870	+	0	0	8277.415094339623	300.53740758359277	8436.999999999998	-6.864110956776817e-14	59707.04288440351	-1718.566037735849	97.98796796256435	-1740.9999999999998	-8.58013869597102e-15	12410.144036231004	178326.37735849057	32.330969098277095	178306.0	-2.145034673992755e-15	1285932.6418751488
871	0	0	-	-2746.409090909091	5417.777067287508	6944.0	0.0	63326.44551054479	-3439.5545454545454	1116.0082321817881	-1747.9999999999989	0.0	37885.4270003652	177777.21818181817	541.6519073725583	178245.00000000006	-2.645802768793973e-13	1856012.4773322514
872	0	0	-	-5362.725490196079	2127.9720538341826	-8624.999999999998	-4.279975067166721e-13	40289.5886303149	-3913.7843137254904	1310.8968837227208	-5493.999999999999	-4.279975067166721e-13	28959.627708242384	174238.58823529413	1280.0100976389485	176220.0	2.8533167114444807e-13	1231804.9514675608
