	leftRight	frontBack	angular	Roll_Mean	Roll_SD	Roll_FFT_Mean_Real	Roll_FFT_Mean_Imag	Roll_FFT_SD	Pitch_Mean	Pitch_SD	Pitch_FFT_Mean_Real	Pitch_FFT_Mean_Imag	Pitch_FFT_SD	Yaw_Mean	Yaw_SD	Yaw_FFT_Mean_Real	Yaw_FFT_Mean_Imag	Yaw_FFT_SD
0	0	0	0	-5.08	2.1710826792179057	-2.000000000000001	5.684341886080802e-16	39.01281840626232	-2.0	1.3416407864998738	-1.0	-1.4210854715202004e-16	17.0	-23368.84	2.138784701647175	-23372.0	0.0	163581.42923938524
1	-	0	0	-755.3307493540052	1166.332711521047	-8.000000000000602	-1.2032591403300757e-12	38658.542316026345	-200.1201550387597	725.9211806375174	-2.8201386101486147e-13	-7.520369627062973e-14	20949.115947934413	-21112.545219638243	3537.0779732768765	-23365.000000000022	1.2032591403300757e-12	595096.591424451
2	-	0	0	-9385.32075471698	899.7238942006915	-7214.0	-6.864110956776817e-14	68259.262287253	-513.1698113207547	62.09418769295093	-462.0	-1.716027739194204e-14	3734.7155179477854	-13771.056603773584	32.319405406413914	-13744.999999999995	-4.29006934798551e-15	99308.39005340888
3	-	0	0	911.202380952381	5115.199137956089	-9570.0	3.4647417210397264e-13	66660.84184886955	418.30357142857144	317.00018324556385	-529.9999999999999	-2.165463575649829e-14	6782.149732938665	-14147.654761904761	561.9888258092569	-13637.99999999999	0.0	183011.73558545366
4	-	0	0	-1949.7073170731708	1866.763453784513	-5705.999999999999	0.0	23767.773265495445	-919.1585365853658	326.23953004458565	-127.99999999999983	0.0	8831.135657433873	-15076.573170731708	269.0863507468171	-14748.000000000004	4.4365595208435525e-14	135747.13518524065
5	0	0	0	-1972.4	2924.099006531756	-3899.0000000000014	0.0	24633.99352520821	-792.7	275.9181219130052	-1034.0000000000002	-3.637978807091713e-14	5844.317667615271	-14710.7	332.0507340753819	-15137.0	7.275957614183426e-14	102939.87973569817
6	-	0	0	-797.12	3493.6013318064784	3287.0	5.820766091346741e-13	25124.25439689703	-35.12	331.2913304027137	-428.0	-3.637978807091713e-14	2316.5025361522917	-14567.38	206.95583007009006	-14273.999999999998	0.0	102023.63678579585
7	-	0	0	-1949.0384615384614	888.3259961544449	-3546.0000000000014	2.7984452362243947e-13	15033.141122200645	1772.326923076923	348.8583424848858	859.0000000000006	5.24708481792074e-14	12997.309413874858	-15488.942307692309	348.7814178548341	-14862.000000000005	-6.996113090560987e-14	110727.72026462026
8	-	0	0	-3531.625	1356.1733528374714	-1567.0	-6.496390726949487e-14	28266.46536091841	2362.1071428571427	112.08107374502055	2167.9999999999995	-3.2481953634747435e-14	17562.974292528015	-16226.410714285714	78.65334812274915	-16062.0	-4.0602442043434294e-15	120361.7765447154
9	0	0	0	999.0538461538462	1702.1690407402077	-1093.0	2.2387561889795158e-13	31806.166681950224	-691.1846153846154	1160.4367499060622	2437.0	0.0	21642.36431169201	-14844.311538461538	717.3018347770734	-16173.0	0.0	239090.23795211714
10	0	0	0	-170.31372549019608	53.693936633653166	-124.0	-2.2291536808160006e-15	1269.2533238089236	25.235294117647058	386.4792102180865	-607.0000000000001	-1.7833229446528004e-13	2698.4632663795887	-13813.372549019608	53.447779456181465	-13892.0	0.0	97664.8879894919
11	0	0	0	-164.11764705882354	176.62518718292938	1.0000000000001292	3.566645889305601e-14	1721.8254847689996	822.843137254902	86.16476977826811	639.0000000000002	-8.916614723264002e-15	5873.7495690572305	-13684.392156862745	29.13664792337458	-13710.999999999998	0.0	96759.72198699208
12	0	0	0	-773.0377358490566	166.39552360000224	-537.0000000000001	3.432055478388408e-14	5731.5962872484315	972.6415094339623	46.93958153523252	938.9999999999995	4.29006934798551e-15	7026.7150931285105	-13575.188679245282	45.130860714389705	-13645.99999999999	-1.2870208043956532e-14	97882.78327162546
13	0	0	0	-854.6730769230769	109.64781402883402	-1014.9999999999998	2.62354240896037e-14	6130.18662032405	652.9423076923077	143.69805596104024	951.0000000000003	-1.7490282726402467e-14	4726.383818523417	-13425.5	60.31886425170309	-13520.0	-8.745141363201234e-15	95864.95401344539
14	0	0	0	-393.49056603773585	143.4000371886888	-653.0	1.716027739194204e-14	2978.2051641886596	134.66037735849056	173.55309593692522	424.0	1.716027739194204e-14	1541.9763292606017	-13125.396226415094	86.74454789514809	-13289.999999999995	8.58013869597102e-15	94627.71310773604
15	0	0	0	-598.6981132075472	208.80880348187995	-290.9999999999998	0.0	4606.893530352097	-227.88679245283018	61.67922508181156	-146.0	1.6087760054945665e-15	1712.5215327113408	-13031.981132075472	13.89378925457273	-13026.000000000005	-1.0725173369963776e-15	93975.83605906361
16	0	0	0	-1053.1538461538462	48.265844196246384	-957.0000000000003	-4.372570681600617e-15	7541.896777336588	-254.1153846153846	295.7313394754249	-94.00000000000004	1.7490282726402467e-14	2810.12633167977	-12942.653846153846	29.78634471298798	-12998.0	0.0	92421.51880379375
17	0	0	0	-1029.2641509433963	157.85975994275668	-1017.9999999999998	-2.5740416087913064e-14	7512.1108218662475	-1023.188679245283	76.24366515071331	-935.0	4.29006934798551e-15	7410.827754036657	-13161.962264150943	125.68078195716394	-12978.999999999998	3.432055478388408e-14	94941.86122569958
18	0	0	0	120.86792452830188	314.99380273842996	-534.0	-3.432055478388408e-14	2397.4657453235905	-200.81132075471697	385.48626760670726	-806.9999999999999	1.0296166435165226e-13	3059.700638951465	-13674.67924528302	163.32324397363624	-13390.000000000002	-5.148083217582613e-14	98655.7389511629
19	0	0	0	264.35849056603774	38.791213914582414	370.0	0.0	1909.6541571708738	136.0188679245283	185.51280183319273	378.99999999999994	1.716027739194204e-14	1631.2308236420745	-14220.698113207547	145.37129883419874	-13986.999999999995	5.148083217582613e-14	102584.5084600984
20	0	0	0	54.15384615384615	217.7553659689791	235.0	0.0	1600.9300421942241	-824.8269230769231	349.9687195447092	-196.00000000000028	-6.996113090560987e-14	6458.18062615161	-14611.461538461539	79.86177037146066	-14426.999999999998	-1.7490282726402467e-14	104373.95917085833
21	0	0	0	-1188.5283018867924	290.2637449834778	-535.9999999999998	-6.864110956776817e-14	8890.775556721695	-1230.4905660377358	119.5778143494238	-1361.9999999999993	-8.58013869597102e-15	8896.65487697483	-14868.811320754718	96.52921282412018	-14723.0	2.5740416087913064e-14	107242.94510129793
22	0	0	0	-1379.245283018868	181.12040253267756	-1532.0	0.0	10010.716757555374	-447.3018867924528	274.6847651128822	-981.0	1.716027739194204e-14	3693.3407641321155	-15288.207547169812	156.00669536800018	-15037.999999999996	0.0	110285.08895131743
23	0	0	0	-1120.8461538461538	122.8040002817787	-1098.0	-8.745141363201234e-15	8056.425758362079	931.2884615384615	431.91907791490746	37.00000000000014	-3.4980565452804934e-14	7402.63128894044	-15673.5	38.10940727795334	-15563.0	1.0931426704001542e-15	111946.9332719749
24	0	0	0	-1881.6666666666667	158.98777031932707	-1481.9999999999995	-1.6842494477276448e-14	13797.274730902478	708.425925925926	407.76934301835894	1340.0	-1.0105496686365869e-13	5855.265066587507	-15324.314814814816	185.4343074328854	-15598.000000000002	-3.3684988954552896e-14	111533.08459376528
25	0	0	0	-1824.6792452830189	151.0643713329614	-1974.0	0.0	13182.332418809656	117.22641509433963	92.28537395296732	82.99999999999996	-8.58013869597102e-15	1082.9672201872038	-14525.67924528302	255.29219467814002	-14961.0	1.716027739194204e-14	104701.36893087883
