time	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board
2020-06-30 07:29:35.650	0.0	0.0	0.0	0.25	7.0	65.0	28.6	8.0	-84.2	98834.9	344.0	0.0	0.0	0.0	0.0	3.5	-20.8	52366.3	0.0	-0.21852837055921553	-8.095528030395508	0.0	2068.0	2040.0	2576.0	70.0	70.0	70.0	70.0	204523937.6
2020-06-30 07:29:35.700	0.0	0.0	0.0	0.25	7.0	65.0	29.0	7.4	-88.0	98832.8	344.0	0.0	0.0	0.0	0.0	8.5	-31.6	52363.5	0.0	-0.12759963274002076	-2.4051573634147645	0.0	2068.0	2043.6	2576.0	70.0	70.0	70.0	70.0	204574004.6
2020-06-30 07:29:35.750	0.0	0.0	0.0	0.25	7.0	65.0	30.444444444444443	8.222222222222221	-86.66666666666667	98835.33333333333	344.44444444444446	0.0	0.0	0.0	0.0	11.555555555555555	-32.888888888888886	52361.22222222222	0.0	-0.07865956839587954	-1.2513596879111395	0.0	2068.0	2044.0	2576.8888888888887	70.0	70.0	70.0	70.0	204621520.55555555
2020-06-30 07:29:35.800	0.0	0.0	0.0	0.25	7.0	65.0	28.8	6.6	-84.2	98833.9	344.5	0.0	0.0	0.0	0.0	14.1	-40.3	52360.9	0.0	-0.1096267744898796	-0.21905796453356743	0.0	2068.0	2041.6	2576.0	70.0	70.0	70.0	70.0	204677688.1
2020-06-30 07:29:35.850	0.0	0.0	0.0	0.25	7.0	65.0	28.5	8.25	-86.5	98830.5	344.0	0.0	0.0	0.0	0.0	17.625	-45.625	52360.5	0.0	-0.12352147232741117	-0.3638259842991829	0.0	2068.0	2044.0	2576.5	70.0	70.0	70.0	70.0	204724708.0
2020-06-30 07:29:35.900	0.0	0.0	0.0	0.25	7.0	65.0	27.90909090909091	8.454545454545455	-84.63636363636364	98834.81818181818	344.6363636363636	0.0	0.0	0.0	0.0	18.90909090909091	-47.18181818181818	52360.181818181816	0.0	-0.12392287769100883	-0.6360566724430431	0.0	2068.0	2044.0	2576.0	70.0	70.0	70.0	70.0	204776699.54545453
2020-06-30 07:29:35.950	0.0	0.0	0.0	0.25	7.0	65.0	29.6	8.4	-88.0	98829.5	344.6	0.0	0.0	0.0	0.0	19.2	-50.4	52357.6	0.0	-0.14187577962875367	-0.509198796749115	0.0	2068.0	2043.2	2576.4	70.0	70.0	70.0	70.0	204829226.1
2020-06-30 07:29:36.000	0.0	0.0	0.0	0.25	7.0	65.0	35.0	9.5	-87.0	98827.0	345.0	0.0	0.0	0.0	0.0	21.375	-52.5	52354.25	0.0	-0.17439761944115162	-0.5164579637348652	0.0	2067.5	2043.5	2576.0	70.0	70.0	70.0	70.0	204874251.875
2020-06-30 07:29:36.050	0.0	0.0	0.0	0.25	7.0	65.0	32.1	8.3	-88.9	98832.8	345.0	0.0	0.0	0.0	0.0	35.8	-34.2	52328.8	0.0	-0.0164030522108078	-0.427610932290554	0.0	2070.4	2045.2	2576.8	70.0	70.0	70.0	70.0	204924300.6
2020-06-30 07:29:36.100	0.0	0.0	0.0	0.25	7.0	65.0	38.166666666666664	20.833333333333332	-91.16666666666667	98831.83333333333	345.0	0.0	0.0	0.0	0.0	48.333333333333336	-14.166666666666666	52299.0	0.0	0.802566001812617	-0.38355673019153375	0.0	2068.6666666666665	2034.6666666666667	2578.0	70.0	70.0	70.0	70.0	204976073.66666666
