time	leftRight	frontBack	angular	Roll_Mean	Roll_SD	Roll_FFT_Mean_Real	Roll_FFT_Mean_Imag	Roll_FFT_SD	Pitch_Mean	Pitch_SD	Pitch_FFT_Mean_Real	Pitch_FFT_Mean_Imag	Pitch_FFT_SD	Yaw_Mean	Yaw_SD	Yaw_FFT_Mean_Real	Yaw_FFT_Mean_Imag	Yaw_FFT_SD
2020-06-30 08:32:16.500	0	0	0	-19.187266414141412	9.021682319702819	-0.9	6.217248937900877e-16	134.09275809302716	44.07883838383839	33.40105671123444	2.5999999999999943	0.0	349.76595504397756	-753.6504166666666	130.89448782566103	-672.1999999999999	2.842170943040401e-14	4790.933088595509
2020-06-30 08:32:18.500	0	0	0	-803.3761426767677	617.8823917691029	-39.00000000000032	0.0	6409.848209374415	327.9329671717172	1847.8707070224905	62.49999999999964	9.094947017729283e-14	11869.403564762377	10541.612323232324	12778.523413287894	-1211.3	-1.4551915228366853e-12	104762.50661472749
2020-06-30 08:32:20.500	0	0	0	-1344.287371933622	684.9961693932802	-1771.9000000000005	1.3642420526593926e-13	9376.220027652233	-213.23961940836944	630.3157571058255	271.09999999999997	4.5474735088646414e-14	4199.674790701376	26284.469675324675	180.731730449096	26625.700000000008	-2.842170943040401e-14	164095.43717717487
2020-06-30 08:32:22.500	0	0	0	-381.43783244533245	820.2549848621047	-186.00000000000006	-2.2737367544323207e-14	5718.210070333985	158.03764097014096	446.4207469518933	-59.77777777777788	3.4106051316484814e-14	2994.515284346315	25818.966032509157	114.03011118253795	25901.88888888889	1.9895196601282807e-14	161227.70402803723
2020-06-30 08:32:24.500	0	0	0	-89.77920454545455	246.99609992791704	605.75	0.0	1547.8249563295735	-202.56001984126982	270.32465289017745	-584.125	-4.5474735088646414e-14	2055.002960656413	25868.482644300144	131.6823081529947	25811.75	-1.1368683772161604e-14	161559.84322809623
2020-06-30 08:32:26.500	0	0	0	89.77079545454544	805.3984251988506	77.37499999999991	-9.094947017729283e-14	5124.746810384707	-5248.093371212121	3984.932418436138	-68.4999999999989	3.637978807091713e-13	41675.917797314985	25318.746275252524	325.3349506841415	25652.25	1.1368683772161604e-14	158075.14763923993
2020-06-30 08:32:28.500	0	-	0	-1070.3555465367965	2608.124437437077	456.4444444444451	3.183231456205249e-13	17824.438884730087	-5402.620993867244	4832.305685414223	-8553.888888888889	5.45696821063757e-13	45037.88026209728	25519.400321969697	178.04603373584388	25738.666666666668	0.0	159337.31755475636
2020-06-30 08:32:30.500	0	0	-	-145.261387987013	2669.484200680748	-7522.909090909092	-6.366462912410498e-13	15142.513316846684	358.96621753246757	5393.7960272912305	7449.272727272728	3.637978807091713e-13	33367.409683833714	15080.044103535352	6020.500118405768	25113.54545454546	0.0	99576.48270708445
2020-06-30 08:32:32.500	0	-	0	-373.6765647546897	615.5562211675616	20.12499999999991	3.4106051316484814e-14	4554.266180513954	-8876.480765692642	1518.4735982898585	-4683.625000000002	0.0	56762.404555797	9595.846130952381	91.16836835076442	9721.500000000004	0.0	59908.55884898302
2020-06-30 08:32:34.500	0	-	0	70.33630772005772	496.41955500259644	-255.0	-1.3642420526593926e-13	3160.7210935017124	1497.4364087301587	6178.556488226622	-7373.1	-5.45696821063757e-13	39526.09820670285	4152.973971861471	6981.650509564188	9618.800000000001	-1.4551915228366853e-12	50468.84338387665
2020-06-30 08:32:36.500	0	0	-	716.2591287878788	161.59683964104502	286.88888888888863	3.4106051316484814e-14	4635.0104521554085	-1159.9963762626262	840.8303500109593	-2698.666666666666	4.5474735088646414e-14	8649.895319592099	-32271.841338383838	11492.818429381914	-12473.888888888901	1.4551915228366853e-12	216302.2580760776
2020-06-30 08:32:38.500	0	0	-	331.51443722943725	317.10863274879046	782.1	-4.5474735088646414e-14	2794.0486524422417	231.1948051948052	125.47138989572393	89.90000000000008	5.684341886080802e-15	1661.2291519405587	-70971.99757756133	10978.99024891557	-52371.40000000002	2.9103830456733705e-12	451175.9558569652
2020-06-30 08:32:40.500	0	0	-	-194.36921446608946	192.9308073218588	-82.44444444444453	2.2737367544323207e-14	1730.1070577919165	164.84841991341992	173.92922807786186	270.55555555555554	-2.2737367544323207e-14	1491.2594705370723	-108687.9697610029	10885.17435081488	-90332.88888888889	2.9103830456733705e-12	684910.5349179851
2020-06-30 08:32:42.500	0	0	-	10.967181637806636	75.4173811124523	33.000000000000014	1.7053025658242407e-14	480.86735996270403	-9.83437049062049	83.66600651006028	122.55555555555554	0.0	518.5062731867365	-146759.76262987015	11153.54153968052	-127968.55555555553	-7.275957614183426e-13	922028.8636648817
2020-06-30 08:32:44.500	0	0	-	736.3470048701299	1616.638598639046	31.99999999999973	-2.728484105318785e-13	11235.126470477899	-2174.255525793651	4297.3539625312005	-31.80000000000073	3.637978807091713e-13	30459.55540695027	38685.4633234127	171644.52611826916	-166311.0	-3.492459654808045e-11	1100307.6788042022
2020-06-30 08:32:46.500	0	-	0	-217.99569985569983	655.2115563282886	-1901.1999999999998	-2.842170943040401e-14	3931.7185692860285	-8712.60449585137	645.5797922768744	-8982.499999999996	0.0	54519.397543654406	178775.0053887085	261.27637494755277	178354.39999999997	0.0	1116518.0431518848
2020-06-30 08:32:48.500	0	-	0	-763.3279482323233	146.49381909403616	-644.1111111111114	2.842170943040401e-15	4873.430075414665	634.3410290404041	10114.52080951118	-8877.111111111113	-2.9103830456733705e-12	63477.820443107026	178708.4677272727	76.32262109502418	178932.6666666666	0.0	1115998.2039871041
