	leftRight	frontBack	angular	Roll_Mean	Roll_SD	Roll_FFT_Mean_Real	Roll_FFT_Mean_Imag	Roll_FFT_SD	Pitch_Mean	Pitch_SD	Pitch_FFT_Mean_Real	Pitch_FFT_Mean_Imag	Pitch_FFT_SD	Yaw_Mean	Yaw_SD	Yaw_FFT_Mean_Real	Yaw_FFT_Mean_Imag	Yaw_FFT_SD
0	0.0	0.0	0.0	1.06	0.9467840302835698	2.0	-7.105427357601002e-17	9.848857801796106	-8.38	1.44069427707616	-7.0	0.0	59.71599450733447	-2357.78	2.968433930543173	-2352.9999999999995	0.0	16505.155497601347
1	0.0	-0.25	0.0	-115.23496240601504	1429.3768317429442	-1.0000000000001368	-3.282386893616583e-13	46776.13328397293	-269.7716165413534	3374.275452650509	-11.00000000000175	-8.753031716310888e-13	110416.73864953629	30569.447368421053	35211.93776121226	-2361.9999999999823	2.800970149219484e-11	1521027.9028860712
2	0.0	-0.25	0.0	-2198.769230769231	134.3183095636022	-1863.0	-5.24708481792074e-14	15775.482972004376	-10688.75	1605.779009067418	-7079.999999999998	-4.197667854336592e-13	77620.38743139588	68625.5	103.25854406816379	68404.00000000004	1.7490282726402467e-14	490115.62741663324
3	0.0	-0.25	0.0	-2020.3529411764705	124.88800057422615	-2223.9999999999995	-5.3499688339584013e-14	14283.640922397899	-11654.078431372549	437.5522755608978	-12259.0	7.133291778611202e-14	82378.24785099523	68625.25490196078	26.414377500063846	68680.99999999999	-1.1145768404080003e-15	485245.98087052716
4	0.0	-0.25	0.0	-1689.2105263157894	87.25034295254676	-1838.0000000000005	1.5956047399525056e-14	12637.298405909389	-9720.105263157895	504.76959080045674	-10815.0	6.382418959810022e-14	72683.86601578098	68550.43859649122	71.84608733046518	68631.00000000001	-1.5956047399525056e-14	512974.02475758945
5	0.0	-0.25	0.0	-1385.5961538461538	187.8103851080602	-1562.0000000000007	5.24708481792074e-14	9961.321548870914	-9559.153846153846	144.11272092137094	-9330.000000000004	-8.745141363201234e-14	68305.61483509243	68360.23076923077	42.381788262546905	68429.0	-8.745141363201234e-15	488180.15650474775
6	0.0	-0.25	0.0	-479.77358490566036	247.35305464429874	-945.0	-5.148083217582613e-14	3814.365609115099	-9492.924528301886	108.06267382326845	-9644.999999999998	-8.58013869597102e-15	68437.71283437224	68213.67924528301	38.81148127391796	68304.99999999999	-1.0725173369963776e-15	491883.2450165384
7	0.0	0.0	0.0	202.54716981132074	137.52194556091024	-15.99999999999998	1.716027739194204e-14	1782.2567155154725	-6536.981132075472	2545.772199939269	-9225.0	2.7456443827107267e-13	50231.38989715495	68252.24528301887	37.04047029958235	68161.99999999999	-2.145034673992755e-15	492186.5202735645
8	0.0	0.0	0.25	11.154471544715447	614.4215738786238	587.0000000000003	-3.9436084629720466e-14	16683.89915457415	968.5447154471544	4939.536072461072	-1323.999999999999	-2.5239094163021098e-12	136737.05966562248	68188.63279132791	780.6114842077536	68243.00000000004	6.309773540755274e-13	1851286.998867545
9	0.0	0.0	0.25	523.0588235294117	62.69359405769317	652.9999999999999	-4.458307361632001e-15	3705.018623434976	294.5882352941176	183.35695139889728	2.9999999999999107	-8.916614723264002e-15	2478.0018159799642	76674.43137254902	2050.120811886335	73250.99999999997	2.8533167114444807e-13	542840.707300954
10	0.0	0.0	0.25	184.44230769230768	123.85714684847133	454.0	-3.4980565452804934e-14	1536.4182373299273	-456.2307692307692	188.03463422635485	-65.00000000000007	-3.4980565452804934e-14	3557.802552138047	83818.0	2112.263650865874	80200.99999999993	4.197667854336592e-13	599269.2018191824
11	0.0	0.0	0.25	-118.72222222222223	148.21623551128195	14.999999999999982	0.0	1395.4132004535431	-851.6111111111111	101.31367072879755	-800.0	0.0	6251.185567554367	91352.46296296296	2151.3923976411784	87648.99999999997	0.0	665741.9212022028
12	0.0	0.0	0.25	-378.27777777777777	42.70415742908874	-340.0	-3.6185046728523616e-15	2776.6809323363027	-655.7592592592592	68.69091674956557	-725.0	-6.315935428978668e-15	4790.643171850727	98891.83333333333	2224.5462021624894	95144.99999999997	-2.6947991163642317e-13	720633.5875394652
