time	leftRight	frontBack	angular	Roll_Mean	Roll_SD	Roll_FFT_Mean_Real	Roll_FFT_Mean_Imag	Roll_FFT_SD	Pitch_Mean	Pitch_SD	Pitch_FFT_Mean_Real	Pitch_FFT_Mean_Imag	Pitch_FFT_SD	Yaw_Mean	Yaw_SD	Yaw_FFT_Mean_Real	Yaw_FFT_Mean_Imag	Yaw_FFT_SD
2017-08-10 12:48:16.050	0	-	0	18.90772727272727	12.752203857436173	1.8999999999999972	-2.486899575160351e-15	144.2262949453316	48.214646464646464	37.31376758384079	-7.0	0.0	385.5253239418513	-2489.1047979797977	154.7130867822736	-2354.4000000000005	1.9895196601282807e-14	15596.15189788526
2017-08-10 12:48:18.050	0	-	0	-85.39838383838382	2002.827093735648	4.9000000000003645	9.094947017729283e-14	12678.499360908276	33.30025252525259	5194.922412231425	72.60000000000073	-7.275957614183426e-13	32856.16898356996	30722.894318181818	34088.94773593463	-3116.9000000000033	2.9103830456733705e-12	290221.27533240576
2017-08-10 12:48:20.050	0	-	0	-710.6428787878788	1373.5441600080399	-2015.6000000000001	-1.8189894035458566e-13	9570.936791483091	-3239.9242676767676	4505.805979136938	573.0999999999998	3.637978807091713e-13	35094.83477189031	68584.67434343434	152.17036249079433	68521.49999999999	-2.842170943040401e-15	428322.346442859
2017-08-10 12:48:22.050	0	-	0	-562.3937878787879	954.5299427493987	-1885.333333333333	0.0	6748.487652223651	-1471.887196969697	9295.684907272725	-11235.666666666666	0.0	58453.470275011096	68196.86613636363	323.7773281032104	68652.5555555556	2.2737367544323207e-14	425820.9975081821
2017-08-10 12:48:24.050	0	0	+	205.50060606060606	359.6671433265978	-434.3999999999999	1.1368683772161604e-14	2583.589511358117	-1149.7324494949494	2058.6925850563143	6444.8	0.0	13448.737768560299	67968.38305555555	398.9870930136271	67217.89999999998	0.0	424589.407963829
2017-08-10 12:48:26.050	0	0	+	-161.0068686868687	451.0426479473764	-327.8181818181819	4.5474735088646414e-14	3011.1530218404178	-1051.8641919191919	892.4509644435533	-1948.0	0.0	8504.162280149745	80387.67972222222	12163.874225631516	68299.90909090909	7.275957614183426e-13	509647.6016917532
2017-08-10 12:48:28.050	0	0	+	-673.1134343434344	479.7220752579103	-522.2	0.0	5201.529175092144	416.900101010101	584.4293455932915	-354.09999999999997	4.5474735088646414e-14	4526.493936648255	131820.80444444445	14730.310989030939	105593.10000000005	1.4551915228366853e-12	832224.9450004194
2017-08-10 12:48:30.050	0	0	+	-1075.218409090909	1615.0560614104697	155.99999999999997	2.2737367544323206e-13	12270.113787160548	875.2545959595958	1195.172037468952	534.7999999999996	9.094947017729283e-14	9353.83671205796	166272.6640909091	2926.964112727132	156855.49999999997	5.45696821063757e-13	1040001.4374182225
2017-08-10 12:48:32.050	-	0	0	-8011.579608585858	944.825190761004	-7902.899999999998	1.8189894035458566e-13	50405.04211110443	118.17219696969696	457.735399989146	-623.0	-3.9790393202565614e-14	2924.2649643277427	168232.4725189394	238.45034639609432	168198.29999999996	0.0	1050618.0079425853
2017-08-10 12:48:34.050	+	0	0	5802.272525252525	3792.018092530947	-1653.800000000003	0.0	43807.48397723035	-74.32050505050505	568.1017278331258	-425.0	-9.094947017729283e-14	3598.59686899183	168763.1504292929	453.0926785481229	168428.90000000002	-1.1368683772161604e-14	1053982.9007515302
2017-08-10 12:48:36.050	+	0	0	4907.561338383838	3514.3421158571505	5868.699999999998	9.094947017729283e-14	37721.992420887356	-557.9703030303031	1519.4805932436575	43.90000000000018	0.0	10237.390198791536	168797.35772727273	1428.6928625213777	168235.5	1.8189894035458566e-13	1054267.699448258
2017-08-10 12:48:38.050	-	0	0	-2072.6975252525253	5292.714988560178	-5929.100000000001	7.275957614183426e-13	35457.04517359985	-26.131893939393922	1964.3430133372783	4529.2	-2.671640686457977e-13	11569.762372543075	170307.03515151516	1794.5361675041206	174032.2	-1.8189894035458566e-13	1063024.4854420787
2017-08-10 12:48:40.050	-	0	0	-207.40888888888898	4365.939610169475	2525.5	3.637978807091713e-13	27528.162576232295	-937.9697222222223	1134.2601846355935	-2759.2000000000003	-2.0463630789890886e-13	8890.452744951077	168024.3067171717	375.1214610636592	168416.59999999998	2.2737367544323207e-14	1049251.248939123
2017-08-10 12:48:42.050	-	0	0	-6616.527272727273	2640.574444360792	-8732.199999999999	1.8189894035458566e-13	44201.71201478743	-708.367297979798	950.6999864933584	411.19999999999993	-1.8189894035458566e-13	7487.022257655368	167868.6162121212	240.6645269679489	167532.70000000007	0.0	1048394.0116035523
2017-08-10 12:48:44.050	+	0	0	4627.522500000001	4580.920410578455	6206.599999999999	-3.637978807091713e-13	40711.5458842135	-95.54828282828282	1054.805731656118	-2898.8	0.0	6038.769973714952	167846.2338888889	270.9824055771551	167640.0	0.0	1048233.7987710129
2017-08-10 12:48:46.050	+	0	0	6769.445126262627	2939.515140388605	6181.222222222224	-9.094947017729283e-14	46264.86739375455	-525.3825	1781.7436492335228	-772.2222222222225	1.3642420526593926e-13	11723.01842338891	168605.53565656563	643.0003348000807	167333.4444444445	-2.2737367544323207e-14	1053151.9940203682
2017-08-10 12:48:48.050	0	0	0	-1293.7563383838383	2715.2625059544785	-465.8000000000002	0.0	19016.867984345427	346.39974747474747	2223.8863043374586	-2829.6000000000004	-1.8189894035458566e-13	13950.623177005806	167991.9321717172	885.8330470124125	170815.5	7.958078640513123e-14	1048668.2144313855
2017-08-10 12:48:50.050	0	0	0	1435.5798042929293	830.4886001822675	2148.3000000000006	0.0	10266.880475151987	-811.0183143939394	985.5848400655267	-139.0	9.094947017729283e-14	8071.295207708306	167610.5802209596	556.9630455155503	167432.70000000004	-2.2737367544323207e-14	1046762.1331345255
2017-08-10 12:48:52.050	0	0	-	449.2931313131313	260.11040316247164	-113.55555555555566	2.2737367544323207e-14	3281.4592368247627	304.6281818181818	396.10044687436294	-1041.0	0.0	2983.9696256625757	146646.92590909093	10492.285099248233	164364.4444444445	1.4551915228366853e-12	915205.2700952294
2017-08-10 12:48:54.050	0	0	-	-187.47411616161617	365.7431970381823	245.77777777777774	-4.5474735088646414e-14	2587.697528762241	536.3631313131312	147.262126935573	456.2222222222223	-5.684341886080802e-15	3488.0829964918066	109644.03755050506	11043.185381179543	128093.00000000007	1.4551915228366853e-12	685086.0237229968
2017-08-10 12:48:56.050	0	0	-	236.99964646464645	722.8773512387585	-929.7	0.0	4720.643791299364	332.3891414141414	233.6627232449563	556.2	2.842170943040401e-14	2508.7594429460883	72536.8741919192	10508.015680347007	89968.00000000001	1.4551915228366853e-12	454737.74795909476
