time	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:00.952	0.0	-0.25	0.0	0.0	7	83	-79	-25	-93	98486	531	0.011769955977797508	-53.7180061340332	0.0	0.0	-6603.0	-1527.0	-99594.0	735	710.8823852539062	-51.8451042175293	0.0	2052.0	2068.0	2560.0	176	168	183	192	1522059809051	both
1970-01-01 00:00:00.982	0.0	-0.25	0.0	0.0	7	83	-72	-26	-90	98478	531	0.011715725064277649	-56.40869522094727	0.0	0.0	-6554.0	-1610.0	-99624.0	735	739.3159790039062	-61.74835205078125	0.0	2072.0	2096.0	2556.0	174	171	181	193	1522073839141	both
1970-01-01 00:00:01.013	0.0	-0.25	0.0	0.0	7	83	-74	-26	-94	98469	530	0.011999438516795635	-59.59085464477539	0.0	0.0	-6484.0	-1612.0	-99634.0	737	775.0518798828125	-72.92655181884766	0.0	2056.0	2068.0	2564.0	173	167	185	189	1522088869262	both
1970-01-01 00:00:01.073	0.0	-0.25	0.0	0.0	7	83	-70	-16	-94	98513	530	0.012670249678194523	-58.1410026550293	0.0	0.0	-6334.0	-1622.0	-99606.0	733	813.7254638671875	-70.6908950805664	0.0	2048.0	1988.0	2576.0	176	169	186	195	1522117929687	both
1970-01-01 00:00:01.103	0.0	-0.25	0.0	0.0	7	83	-68	-20	-90	98478	530	0.01233505830168724	-59.16822814941406	0.0	0.0	-6244.0	-1648.0	-99613.0	733	825.6553344726562	-74.49994659423828	0.0	2036.0	2028.0	2588.0	176	170	186	195	1522132959777	both
1970-01-01 00:00:01.138	0.0	-0.25	0.0	0.0	7	83	-70	-18	-86	98463	530	0.012477794662117958	-61.4461784362793	0.0	0.0	-6151.0	-1657.0	-99488.0	735	845.2718505859375	-87.87096405029297	0.0	2080.0	1996.0	2564.0	183	159	193	184	1522149994934	both
1970-01-01 00:00:01.239	0.0	-0.25	0.0	0.0	7	83	-77	-21	-87	98478	530	0.013514970429241656	-73.1937484741211	0.0	0.0	-5987.0	-1763.0	-99448.0	734	951.5516967773438	-128.384521484375	0.0	2032.0	2040.0	2580.0	177	167	188	192	1522734095397	both
1970-01-01 00:00:01.273	0.0	-0.25	0.0	0.0	7	83	-66	-16	-94	98480	530	0.01413710694760084	-75.5105972290039	0.0	0.0	-5942.0	-1689.0	-99453.0	734	988.5369262695312	-145.83279418945312	0.0	2036.0	2056.0	2588.0	176	166	189	191	1522751130004	both
1970-01-01 00:00:01.303	0.0	-0.25	0.0	0.0	7	83	-69	-23	-95	98444	530	0.01355825737118721	-79.6249771118164	0.0	0.0	-5859.0	-1599.0	-99450.0	735	992.4443359375	-165.18067932128906	0.0	2088.0	2044.0	2576.0	173	167	188	192	1522766160583	both
1970-01-01 00:00:01.334	0.0	-0.25	0.0	0.0	7	83	-66	-22	-92	98469	530	0.013292048126459122	-80.83322143554688	0.0	0.0	-5797.0	-1506.0	-99456.0	738	1002.7621459960938	-183.6745147705078	0.0	2056.0	2040.0	2584.0	171	165	184	191	1522780190429	both
1970-01-01 00:00:01.429	0.0	-0.25	0.0	0.0	3	83	-70	-18	-92	98478	530	0.015119954943656918	-87.88569641113281	0.0	0.0	-5195.0	-1193.0	-99428.0	739	1074.9844970703123	-199.40267944335938	0.0	1996.0	2028.0	2588.0	167	160	189	191	1522827285583	both
1970-01-01 00:00:01.495	0.0	-0.25	0.0	0.0	3	83	-71	-21	-95	98475	530	0.014110053889453413	-91.80178833007812	0.0	0.0	-5304.0	-1135.0	-99426.0	738	1049.975341796875	-211.4183807373047	0.0	2008.0	2020.0	2564.0	172	164	186	189	1522859350891	both
1970-01-01 00:00:01.589	0.0	-0.25	0.0	0.0	3	83	-70	-28	-92	98489	530	0.014127110131084919	-94.71283721923828	0.0	0.0	-5974.0	-980.0	-99497.0	738	1058.412841796875	-222.16429138183597	0.0	2072.0	2052.0	2552.0	170	167	185	190	1522905445922	both
1970-01-01 00:00:01.620	0.0	-0.25	0.0	0.0	3	83	-71	-23	-93	98486	530	0.01562511920928955	-91.2119369506836	0.0	0.0	-6190.0	-907.0	-99547.0	739	1079.48876953125	-219.1042938232422	0.0	2120.0	2060.0	2548.0	168	171	182	192	1522920475982	both
1970-01-01 00:00:01.684	0.0	-0.25	0.0	0.0	3	83	-75	-23	-89	98453	530	0.014830074273049831	-89.90486145019531	0.0	0.0	-6588.0	-813.0	-99589.0	735	1101.4073486328123	-198.5414581298828	0.0	2052.0	2052.0	2548.0	172	169	186	192	1522952541351	both
1970-01-01 00:00:01.714	0.0	-0.25	0.0	0.0	3	83	-71	-27	-87	98483	530	0.014762818813323975	-89.51045227050781	0.0	0.0	-6638.0	-747.0	-99638.0	734	1114.349609375	-196.23306274414062	0.0	2024.0	2024.0	2560.0	168	171	186	194	1522966571289	both
