	leftRight	frontBack	up	angular	State	Battery_level	Magnetometer_x	Magnetometer_y	Magnetometer_z	Pressure	Temperature	Wind_speed	Wind_angle	Wind_compensation:pitch	Wind_compensation:roll	Pitch_y	Roll_x	Yaw_z	Altitude	Velocity_x	Velocity_y	Velocity_z	Acceleration_x	Acceleration_y	Acceleration_z	Motor_1_power	Motor_2_power	Motor_3_power	Motor_4_power	time_board	_merge
1970-01-01 00:00:06.850	0.0	0.25	0.0	0.0	3.0	83.0	-70.0	18.0	-86.0	98511.0	529.0	0.04381164163351059	-5.415355205535889	0.0	0.0	6451.0	-1511.0	-98454.0	763.0	-947.8549194335938	62.69572830200195	0.0	2028.0	2028.0	2600.0	196.0	182.0	169.0	176.0	1528143686492.0	both
1970-01-01 00:00:06.900																															both
1970-01-01 00:00:06.950																															both
1970-01-01 00:00:07.000																															both
1970-01-01 00:00:07.050																															both
1970-01-01 00:00:07.100																															both
1970-01-01 00:00:07.150																															both
1970-01-01 00:00:07.200																															both
1970-01-01 00:00:07.250																															both
1970-01-01 00:00:07.300																															both
1970-01-01 00:00:07.350																															both
1970-01-01 00:00:07.400																															both
1970-01-01 00:00:07.450																															both
1970-01-01 00:00:07.500																															both
1970-01-01 00:00:07.550																															both
1970-01-01 00:00:07.600																															both
1970-01-01 00:00:07.650																															both
1970-01-01 00:00:07.700																															both
1970-01-01 00:00:07.750																															both
1970-01-01 00:00:07.800																															both
1970-01-01 00:00:07.850																															both
1970-01-01 00:00:07.900																															both
1970-01-01 00:00:07.950																															both
1970-01-01 00:00:08.000																															both
1970-01-01 00:00:08.050																															both
1970-01-01 00:00:08.100																															both
1970-01-01 00:00:08.150																															both
1970-01-01 00:00:08.200																															both
1970-01-01 00:00:08.250																															both
1970-01-01 00:00:08.300																															both
1970-01-01 00:00:08.350																															both
1970-01-01 00:00:08.400																															both
1970-01-01 00:00:08.450	0.0	0.25	0.0	0.0	3.0	82.0	-72.0	6.0	-90.0	98486.0	529.0	0.05985447019338608	13.400224685668945	0.0	0.0	3789.0	145.0	-99366.0	733.0	-204.0384826660156	84.44662475585938	0.0	2100.0	1964.0	2588.0	190.0	176.0	178.0	174.0	1530005306274.0	both
1970-01-01 00:00:08.500																															both
1970-01-01 00:00:08.550	0.0	0.25	0.0	0.0	3.0	82.0	-71.0	11.0	-87.0	98466.0	529.0	0.06249629333615302	11.507744789123535	0.0	0.0	6974.0	-58.0	-99327.0	732.0	-278.7861328125	101.77149963378906	0.0	2080.0	2048.0	2560.0	187.0	178.0	175.0	184.0	1530054406677.0	both
1970-01-01 00:00:08.600																															both
1970-01-01 00:00:08.650																															both
1970-01-01 00:00:08.700																															both
1970-01-01 00:00:08.750																															both
1970-01-01 00:00:08.800																															both
1970-01-01 00:00:08.850																															both
1970-01-01 00:00:08.900																															both
1970-01-01 00:00:08.950																															both
1970-01-01 00:00:09.000																															both
1970-01-01 00:00:09.050																															both
1970-01-01 00:00:09.100																															both
1970-01-01 00:00:09.150																															both
1970-01-01 00:00:09.200																															both
1970-01-01 00:00:09.250																															both
1970-01-01 00:00:09.300																															both
1970-01-01 00:00:09.350																															both
1970-01-01 00:00:09.400																															both
1970-01-01 00:00:09.450																															both
1970-01-01 00:00:09.500																															both
1970-01-01 00:00:09.550																															both
1970-01-01 00:00:09.600																															both
1970-01-01 00:00:09.650																															both
1970-01-01 00:00:09.700																															both
1970-01-01 00:00:09.750																															both
1970-01-01 00:00:09.800																															both
1970-01-01 00:00:09.850																															both
1970-01-01 00:00:09.900																															both
1970-01-01 00:00:09.950																															both
1970-01-01 00:00:10.000																															both
1970-01-01 00:00:10.050																															both
1970-01-01 00:00:10.100																															both
